run,epoch,global_step,train_loss,val_loss
final_ctx128_layers4_lr3e-4,0.18148820326678766,100,6.148376512527466,6.131191277503968
final_ctx128_layers4_lr3e-4,0.3629764065335753,200,5.598478388786316,5.583472847938538
final_ctx128_layers4_lr3e-4,0.5444646098003629,300,5.203824996948242,5.210730862617493
final_ctx128_layers4_lr3e-4,0.7259528130671506,400,4.974668431282043,4.97627444267273
final_ctx128_layers4_lr3e-4,0.9074410163339383,500,4.778170418739319,4.815821385383606
final_ctx128_layers4_lr3e-4,1.0,551,4.717065286636353,4.751914143562317
final_ctx128_layers4_lr3e-4,1.0889292196007259,600,4.691695952415467,4.703111577033996
final_ctx128_layers4_lr3e-4,1.2704174228675136,700,4.599842429161072,4.6235178232192995
final_ctx128_layers4_lr3e-4,1.4519056261343013,800,4.517530846595764,4.562661862373352
final_ctx128_layers4_lr3e-4,1.633393829401089,900,4.455523538589477,4.51199254989624
final_ctx128_layers4_lr3e-4,1.8148820326678767,1000,4.384933519363403,4.470065546035767
final_ctx128_layers4_lr3e-4,1.9963702359346642,1100,4.355828857421875,4.433745670318603
final_ctx128_layers4_lr3e-4,2.0,1102,4.369102835655212,4.4322158098220825
final_ctx128_layers4_lr3e-4,2.1778584392014517,1200,4.326351118087769,4.408664679527282
final_ctx128_layers4_lr3e-4,2.3593466424682394,1300,4.285307312011719,4.382153606414795
final_ctx128_layers4_lr3e-4,2.540834845735027,1400,4.2930882453918455,4.360140633583069
final_ctx128_layers4_lr3e-4,2.722323049001815,1500,4.214215326309204,4.337633562088013
final_ctx128_layers4_lr3e-4,2.9038112522686026,1600,4.21682300567627,4.321365809440612
final_ctx128_layers4_lr3e-4,3.0,1653,4.203491115570069,4.308560585975647
final_ctx128_layers4_lr3e-4,3.0852994555353903,1700,4.215661263465881,4.303208351135254
final_ctx128_layers4_lr3e-4,3.266787658802178,1800,4.191162621974945,4.290985488891602
final_ctx128_layers4_lr3e-4,3.4482758620689653,1900,4.179927456378937,4.28042504787445
final_ctx128_layers4_lr3e-4,3.629764065335753,2000,4.178148484230041,4.270036578178406
final_ctx128_layers4_lr3e-4,3.8112522686025407,2100,4.1596266746521,4.25322117805481
final_ctx128_layers4_lr3e-4,3.9927404718693285,2200,4.131146121025085,4.241875839233399
final_ctx128_layers4_lr3e-4,4.0,2204,4.137542355060577,4.241392278671265
final_ctx128_layers4_lr3e-4,4.174228675136116,2300,4.1280981540679935,4.233911442756653
final_ctx128_layers4_lr3e-4,4.3557168784029034,2400,4.130527698993683,4.228337693214416
final_ctx128_layers4_lr3e-4,4.537205081669692,2500,4.0682247400283815,4.213482451438904
final_ctx128_layers4_lr3e-4,4.718693284936479,2600,4.041376316547394,4.203679418563842
final_ctx128_layers4_lr3e-4,4.900181488203267,2700,4.045164024829864,4.196215319633484
final_ctx128_layers4_lr3e-4,5.0,2755,4.083846294879914,4.189781570434571
final_ctx128_layers4_lr3e-4,5.081669691470054,2800,4.064283812046051,4.184231305122376
final_ctx128_layers4_lr3e-4,5.2631578947368425,2900,4.047323274612427,4.176185774803161
final_ctx128_layers4_lr3e-4,5.44464609800363,3000,4.050861763954162,4.165126156806946
final_ctx128_layers4_lr3e-4,5.626134301270417,3100,4.011461639404297,4.158041715621948
final_ctx128_layers4_lr3e-4,5.807622504537205,3200,4.016796278953552,4.140564131736755
final_ctx128_layers4_lr3e-4,5.9891107078039925,3300,3.961202561855316,4.134835588932037
final_ctx128_layers4_lr3e-4,6.0,3306,3.941932713985443,4.131425678730011
final_ctx128_layers4_lr3e-4,6.170598911070781,3400,3.93403217792511,4.122955679893494
