epoch,global_step,train_loss,val_loss,generalization_gap,val_loss_delta,best_val_loss_so_far,best_epoch_so_far
1,551,4.717065286636353,4.751914143562317,0.03484885692596418,,4.751914143562317,1
2,1102,4.369102835655212,4.4322158098220825,0.06311297416687012,-0.3196983337402344,4.4322158098220825,2
3,1653,4.203491115570069,4.308560585975647,0.1050694704055779,-0.1236552238464359,4.308560585975647,3
4,2204,4.137542355060577,4.241392278671265,0.10384992361068779,-0.06716830730438161,4.241392278671265,4
5,2755,4.083846294879914,4.189781570434571,0.10593527555465698,-0.051610708236694336,4.189781570434571,5
6,3306,3.941932713985443,4.131425678730011,0.18949296474456778,-0.05835589170455968,4.131425678730011,6
7,3857,3.8980716943740843,4.073814213275909,0.17574251890182513,-0.05761146545410156,4.073814213275909,7
8,4408,3.8031866788864135,4.006804668903351,0.2036179900169377,-0.06700954437255824,4.006804668903351,8
9,4959,3.7004695534706116,3.959343504905701,0.2588739514350893,-0.047461163997650324,3.959343504905701,9
10,5510,3.6388383507728577,3.916865921020508,0.27802757024765024,-0.04247758388519296,3.916865921020508,10
11,6061,3.648481619358063,3.8845288515090943,0.2360472321510314,-0.032337069511413574,3.8845288515090943,11
12,6612,3.5755006432533265,3.850880193710327,0.27537955045700047,-0.033648657798767356,3.850880193710327,12
13,7163,3.5186250686645506,3.8283225417137148,0.3096974730491642,-0.022557651996612194,3.8283225417137148,13
14,7714,3.5058051228523253,3.8021827578544616,0.2963776350021363,-0.026139783859253196,3.8021827578544616,14
15,8265,3.46352881193161,3.7842517375946043,0.3207229256629942,-0.017931020259857267,3.7842517375946043,15
16,8816,3.3935211658477784,3.767808961868286,0.37428779602050755,-0.01644277572631836,3.767808961868286,16
17,9367,3.3806089401245116,3.7565986037254335,0.3759896636009219,-0.011210358142852428,3.7565986037254335,17
18,9918,3.3591721653938293,3.7439788222312926,0.3848066568374633,-0.012619781494140891,3.7439788222312926,18
19,10469,3.328894245624542,3.732344222068787,0.40344997644424474,-0.011634600162505837,3.732344222068787,19
20,11020,3.295766544342041,3.724412727355957,0.42864618301391566,-0.007931494712829945,3.724412727355957,20
21,11571,3.2617049336433412,3.7140810608863832,0.452376127243042,-0.01033166646957362,3.7140810608863832,21
22,12122,3.2380430817604067,3.7091734409332275,0.47113035917282087,-0.004907619953155695,3.7091734409332275,22
23,12673,3.2257421255111693,3.7002596259117126,0.4745175004005433,-0.008913815021514893,3.7002596259117126,23
24,13224,3.1784258127212524,3.695170450210571,0.5167446374893188,-0.005089175701141535,3.695170450210571,24
25,13775,3.1794658303260803,3.691246843338013,0.5117810130119325,-0.003923606872558327,3.691246843338013,25
26,14326,3.154632091522217,3.6843427062034606,0.5297106146812438,-0.00690413713455218,3.6843427062034606,26
27,14877,3.1006123185157777,3.6785096645355226,0.577897346019745,-0.005833041667937966,3.6785096645355226,27
28,15428,3.129566526412964,3.6745704650878905,0.5450039386749266,-0.003939199447632102,3.6745704650878905,28
29,15979,3.0812705397605895,3.6777622938156127,0.5964917540550232,0.003191828727722168,3.6745704650878905,28
30,16530,3.069340908527374,3.671698307991028,0.6023573994636537,-0.006063985824584783,3.671698307991028,30
31,17081,3.0847320556640625,3.6737873554229736,0.5890552997589111,0.002089047431945712,3.671698307991028,30
32,17632,3.0430784940719606,3.6685229778289794,0.6254444837570188,-0.0052643775939942294,3.6685229778289794,32
33,18183,3.072944164276123,3.6670167565345766,0.5940725922584535,-0.0015062212944028097,3.6670167565345766,33
34,18734,3.0484909653663634,3.663078582286835,0.6145876169204714,-0.003938174247741788,3.663078582286835,34
35,19285,3.0000360012054443,3.663299322128296,0.6632633209228516,0.00022073984146109282,3.663078582286835,34
36,19836,3.00990434885025,3.6607515931129457,0.6508472442626956,-0.002547729015350164,3.6607515931129457,36
37,20387,2.9948638319969176,3.660964250564575,0.6661004185676576,0.00021265745162946104,3.6607515931129457,36
38,20938,2.995372307300568,3.6617919206619263,0.6664196133613585,0.0008276700973510742,3.6607515931129457,36
39,21489,2.972538483142853,3.662592315673828,0.6900538325309751,0.0008003950119017667,3.6607515931129457,36
40,22040,2.9480018258094787,3.6576247930526735,0.7096229672431948,-0.004967522621154519,3.6576247930526735,40
41,22591,2.9772589683532713,3.661343824863434,0.6840848565101627,0.003719031810760498,3.6576247930526735,40
42,23142,2.9328521966934202,3.6553247690200807,0.7224725723266605,-0.0060190558433532715,3.6553247690200807,42
43,23693,2.9363517642021177,3.6538806676864626,0.7175289034843448,-0.001444101333618164,3.6538806676864626,43
44,24244,2.9108906507492067,3.657136380672455,0.7462457299232481,0.003255712985992254,3.6538806676864626,43
45,24795,2.897056829929352,3.653377282619476,0.7563204526901242,-0.0037590980529786933,3.653377282619476,45
46,25346,2.9101448178291323,3.651548171043396,0.7414033532142636,-0.0018291115760802334,3.651548171043396,46
