batch_size,best_epoch,best_val_loss,best_val_ppl,test_loss_at_best_epoch,test_ppl_at_best_epoch,top_1_accuracy_at_best_epoch,top_3_accuracy_at_best_epoch,top_5_accuracy_at_best_epoch,stable_epoch_range_if_available
2,1,5.612256,273.761161,5.660170,287.197484,0.015625,0.031250,0.031250,1
4,1,5.656569,286.165261,5.747502,313.406745,0.007812,0.015625,0.023438,1
