run,epoch,global_step,train_loss,val_loss
ctx_128,0.09082652134423251,100,5.187982487678528,5.176797890663147
ctx_128,0.18165304268846502,200,4.702691769599914,4.679442954063416
ctx_128,0.2724795640326976,300,4.2516578197479244,4.221022391319275
ctx_128,0.36330608537693004,400,3.9836477994918824,3.997187042236328
ctx_128,0.45413260672116257,500,3.876603734493256,3.8745000839233397
ctx_128,0.5449591280653951,600,3.8223071932792663,3.792060208320618
ctx_128,0.6357856494096276,700,3.7276737809181215,3.7353964686393737
ctx_128,0.7266121707538601,800,3.67675701379776,3.689071035385132
ctx_128,0.8174386920980926,900,3.646349048614502,3.6565949082374574
ctx_128,0.9082652134423251,1000,3.624296450614929,3.628467082977295
ctx_128,0.9990917347865577,1100,3.5835522532463076,3.5992624759674072
ctx_128,1.0,1101,3.5821076154708864,3.5980485677719116
ctx_128,1.0899182561307903,1200,3.5729490876197816,3.5780573010444643
ctx_128,1.1807447774750228,1300,3.5650686621665955,3.5609355330467225
ctx_128,1.2715712988192553,1400,3.539314889907837,3.5388349413871767
ctx_128,1.3623978201634879,1500,3.5210437774658203,3.519329035282135
ctx_128,1.4532243415077202,1600,3.4647294640541078,3.5026018619537354
ctx_128,1.544050862851953,1700,3.4836418867111205,3.4802664875984193
ctx_128,1.6348773841961854,1800,3.4171581149101256,3.461621379852295
ctx_128,1.7257039055404177,1900,3.4125861644744875,3.4325605392456056
ctx_128,1.8165304268846503,2000,3.4049310445785523,3.4173646926879884
ctx_128,1.9073569482288828,2100,3.4040231943130492,3.3922932982444762
ctx_128,1.9981834695731153,2200,3.350343418121338,3.377098822593689
ctx_128,2.0,2202,3.348747456073761,3.377727043628693
