phase,epoch,global_step,train_loss,val_loss,lr,elapsed_sec
eval_step,0.8695652173913043,20,5.7978270053863525,5.815989971160889,2.200436128170931e-05,0.3837733268737793
epoch_end,1,23,5.747673273086548,5.815332412719727,1e-05,0.4499838352203369
