run,epoch,global_step,train_loss,val_loss
lr_1e-4,0.06053268765133172,100,5.573656177520752,5.5694780349731445
lr_1e-4,0.12106537530266344,200,5.33361554145813,5.334444141387939
lr_1e-4,0.18159806295399517,300,5.249665570259094,5.235333681106567
lr_1e-4,0.24213075060532688,400,5.095117831230164,5.085166811943054
lr_1e-4,0.3026634382566586,500,4.9359760046005245,4.916161823272705
lr_1e-4,0.36319612590799033,600,4.776891541481018,4.740410995483399
lr_1e-4,0.423728813559322,700,4.580142474174499,4.56915180683136
lr_1e-4,0.48426150121065376,800,4.425998687744141,4.416061449050903
lr_1e-4,0.5447941888619855,900,4.284188318252563,4.283210730552673
lr_1e-4,0.6053268765133172,1000,4.197580146789551,4.177701616287232
lr_1e-4,0.6658595641646489,1100,4.092003953456879,4.093957626819611
lr_1e-4,0.7263922518159807,1200,4.024518632888794,4.024417233467102
lr_1e-4,0.7869249394673123,1300,3.9873366355895996,3.9690576553344727
lr_1e-4,0.847457627118644,1400,3.941977083683014,3.921114146709442
lr_1e-4,0.9079903147699758,1500,3.9127543330192567,3.879289174079895
lr_1e-4,0.9685230024213075,1600,3.8308526396751406,3.8438112258911135
lr_1e-4,1.0,1652,3.843235898017883,3.8260955095291136
lr_1e-4,1.0290556900726393,1700,3.809482955932617,3.8120241522789002
lr_1e-4,1.089588377723971,1800,3.8090760350227355,3.7830044627189636
lr_1e-4,1.1501210653753027,1900,3.759860169887543,3.7568919539451597
lr_1e-4,1.2106537530266344,2000,3.7146249413490295,3.7341681241989138
lr_1e-4,1.271186440677966,2100,3.728550469875336,3.713827574253082
lr_1e-4,1.331719128329298,2200,3.693536567687988,3.690412712097168
lr_1e-4,1.3922518159806296,2300,3.690349817276001,3.67235985994339
lr_1e-4,1.4527845036319613,2400,3.6586772918701174,3.6521753668785095
lr_1e-4,1.513317191283293,2500,3.6238760352134705,3.6355429172515867
lr_1e-4,1.5738498789346247,2600,3.610601377487183,3.619577741622925
lr_1e-4,1.6343825665859564,2700,3.602809727191925,3.6054702162742616
lr_1e-4,1.694915254237288,2800,3.5854750633239747,3.590158724784851
lr_1e-4,1.7554479418886197,2900,3.5772422909736634,3.5754254341125487
lr_1e-4,1.8159806295399514,3000,3.5848614811897277,3.560906410217285
lr_1e-4,1.8765133171912833,3100,3.539738190174103,3.5475486397743223
lr_1e-4,1.937046004842615,3200,3.5227389454841616,3.5343645572662354
lr_1e-4,1.9975786924939467,3300,3.5346489787101745,3.5222099304199217
lr_1e-4,2.0,3304,3.5061326026916504,3.521571397781372
