epoch,step,train_loss,val_loss,test_loss,train_ppl,val_ppl,test_ppl
1,500,5.971215,5.872039,5.990498,391.981606,354.971856,399.613442
1,1000,5.396630,5.394664,5.536287,220.661585,220.228165,253.734181
1,1500,5.144332,5.133399,5.266817,171.456971,169.592590,193.798212
1,2000,4.989023,4.960251,5.090797,146.792992,142.629554,162.519330
1,2500,4.844640,4.833293,4.964666,127.057590,125.623937,143.260715
1,3000,4.702077,4.738273,4.867394,110.175737,114.236774,129.981776
1,3500,4.676024,4.667357,4.781578,107.342474,106.416160,119.292419
1,4000,4.590272,4.596139,4.721160,98.521257,99.100938,112.298490
