run,epoch,global_step,train_loss,val_loss
dropout_0,0.06053268765133172,100,5.207761597633362,5.209044098854065
dropout_0,0.12106537530266344,200,4.677688956260681,4.673281812667847
dropout_0,0.18159806295399517,300,4.204630255699158,4.188796615600586
dropout_0,0.24213075060532688,400,3.9553133130073546,3.941407632827759
dropout_0,0.3026634382566586,500,3.818213903903961,3.795743465423584
dropout_0,0.36319612590799033,600,3.7241220712661742,3.6928356528282165
dropout_0,0.423728813559322,700,3.611155331134796,3.6092123985290527
dropout_0,0.48426150121065376,800,3.555149531364441,3.543900990486145
dropout_0,0.5447941888619855,900,3.4940821647644045,3.486625277996063
dropout_0,0.6053268765133172,1000,3.4454165935516357,3.444669485092163
dropout_0,0.6658595641646489,1100,3.4141719818115233,3.4073765158653258
dropout_0,0.7263922518159807,1200,3.3751998782157897,3.370284903049469
dropout_0,0.7869249394673123,1300,3.3452792286872866,3.344115710258484
dropout_0,0.847457627118644,1400,3.3173715829849244,3.316499936580658
dropout_0,0.9079903147699758,1500,3.286699819564819,3.2897186040878297
dropout_0,0.9685230024213075,1600,3.2472633957862853,3.2623388528823853
dropout_0,1.0,1652,3.2608176589012148,3.2511613845825194
dropout_0,1.0290556900726393,1700,3.220295989513397,3.2435568451881407
dropout_0,1.089588377723971,1800,3.2279279828071594,3.221563482284546
dropout_0,1.1501210653753027,1900,3.190150833129883,3.2041205048561094
dropout_0,1.2106537530266344,2000,3.175196313858032,3.181880331039429
dropout_0,1.271186440677966,2100,3.142418456077576,3.166131114959717
dropout_0,1.331719128329298,2200,3.133562421798706,3.1529004335403443
dropout_0,1.3922518159806296,2300,3.1090346574783325,3.135907161235809
dropout_0,1.4527845036319613,2400,3.090432810783386,3.117671859264374
dropout_0,1.513317191283293,2500,3.070989263057709,3.1050662875175474
dropout_0,1.5738498789346247,2600,3.073905181884766,3.094926917552948
dropout_0,1.6343825665859564,2700,3.060233247280121,3.0841370701789854
dropout_0,1.694915254237288,2800,3.0648352980613707,3.069327938556671
dropout_0,1.7554479418886197,2900,3.034676420688629,3.0572495579719545
dropout_0,1.8159806295399514,3000,3.0234649658203123,3.0390615820884705
dropout_0,1.8765133171912833,3100,3.040740168094635,3.0289717435836794
dropout_0,1.937046004842615,3200,3.0195966720581056,3.01896470785141
dropout_0,1.9975786924939467,3300,2.9804664492607116,3.007336640357971
dropout_0,2.0,3304,3.0338122606277467,3.0066174149513243
