batch_size,seed,epoch,global_step,train_loss,val_loss,test_loss,train_ppl,val_ppl,test_ppl,train_top_1_accuracy,train_top_3_accuracy,train_top_5_accuracy,val_top_1_accuracy,val_top_3_accuracy,val_top_5_accuracy,test_top_1_accuracy,test_top_3_accuracy,test_top_5_accuracy,top_1_accuracy,top_3_accuracy,top_5_accuracy,epoch_time,total_training_time,average_epoch_time,max_gpu_memory_allocated,max_gpu_memory_reserved,memory_status
8,42,1,1103,4.9231729386399685,4.940988589807884,4.9457907030638175,137.43800444121635,139.90849332609358,140.5819655071516,0.1721751402425204,0.27604137154351766,0.32977444327969174,0.1722397859922179,0.2765280479896239,0.3283783236057069,0.17142947380870463,0.2742734495957337,0.32735154502838465,0.17142947380870463,0.2742734495957337,0.32735154502838465,16.22369189999972,39.69458020000002,39.69458020000002,115940352,146800640,available
8,42,2,2206,4.521898550222057,4.565972667379477,4.569366974056669,92.01011808826644,96.15607642439066,96.48301418626848,0.19704959485494106,0.32390178773798733,0.3864965222688123,0.1941776102464332,0.3206772859922179,0.38205252918287935,0.19417818897299158,0.3200027148202305,0.3821190112678479,0.19417818897299158,0.3200027148202305,0.3821190112678479,15.773904399999992,83.86888820000013,41.934444100000064,115940352,146800640,available
8,42,3,3309,4.364783261325936,4.4252920593183065,4.42980730271241,78.63235542228762,83.53720147769978,83.91524511206751,0.2064380524705349,0.34042543772665457,0.40678741925430645,0.20322632944228275,0.3364745460440986,0.4011227302204929,0.20228367452262172,0.3353280094185446,0.40070880999483915,0.20228367452262172,0.3353280094185446,0.40070880999483915,16.3429771000001,131.52320710000004,43.84106903333335,115940352,146800640,available
8,42,4,4412,4.276645643540328,4.350819459895498,4.356667294790853,71.99852578084035,77.54197943945664,77.99676057916848,0.21109332502266545,0.34975811706708976,0.41841054935403443,0.20783681906614787,0.3439627918287938,0.4110631485084306,0.2061979883450886,0.34297990495441255,0.41065083111130224,0.2061979883450886,0.34297990495441255,0.41065083111130224,17.730367300000125,175.25801610000008,43.81450402500002,115940352,146800640,available
8,42,5,5515,4.211236620641036,4.297450104939569,4.30325181907276,67.43988582063173,73.5121063529002,73.93984217999088,0.2148269279805077,0.35624876048277426,0.4262593495013599,0.2113022859922179,0.34890766861219197,0.4181359435797665,0.20959957745570273,0.34826305264063306,0.4175574950541889,0.20959957745570273,0.34826305264063306,0.4175574950541889,17.56534160000001,218.4001892000001,43.680037840000026,115940352,146800640,available
8,42,6,6618,4.165279538655216,4.261132075614536,4.2684239641016415,64.41068520343484,70.89019110180564,71.40900373323558,0.21674906504986402,0.36095981131006344,0.432116068393019,0.21260943579766536,0.35280885214007784,0.42147981517509725,0.21089650890246,0.35195023546361603,0.4217446348701187,0.21089650890246,0.35195023546361603,0.4217446348701187,17.520038999999997,262.73856539999997,43.7897609,115940352,146800640,available
8,42,7,7721,4.130198531224311,4.238840892142856,4.243756186519398,62.190268419367676,69.327447260133,69.66905092531277,0.21910060630099729,0.36428260284451497,0.43624189001586583,0.21300462062256809,0.354399724383917,0.42416504539559013,0.21213363366592122,0.3540663168759677,0.42502056274729055,0.21213363366592122,0.3540663168759677,0.42502056274729055,18.212288600000193,308.37309270000014,44.05329895714288,115940352,146800640,available
8,42,8,8824,4.095442234118852,4.210897472715869,4.21793014311233,60.065896473542146,67.41701760135594,67.89281035105535,0.22181691976427925,0.3681755723028105,0.4404943194696283,0.21585197795071337,0.3588784857328145,0.42832968547341116,0.2144499666695338,0.3570391794254258,0.42820778857732666,0.2144499666695338,0.3570391794254258,0.42820778857732666,21.410165100000086,358.7115534999998,44.838944187499976,115940352,146800640,available
8,42,9,9927,4.06402248376516,4.186024380713394,4.1936771512195525,58.20798145664828,65.76083055177418,66.26601365596399,0.22383113525611967,0.37150987364007254,0.44421906873300093,0.21691593709468224,0.360479490920882,0.4319978112840467,0.21555874225873042,0.3593958315413728,0.43129220067091,0.21555874225873042,0.3593958315413728,0.43129220067091,18.80046220000031,404.3738242999998,44.9304249222222,115940352,146800640,available
8,42,10,11030,4.035395393129489,4.164608901308984,4.173028783424356,56.565281340928316,64.36750347369977,64.91175833049456,0.22682368398685404,0.37467329867407073,0.4478871543517679,0.21886146238651102,0.3632052529182879,0.43430812256809337,0.21784416394288664,0.36181565026664375,0.4344303715809393,0.21784416394288664,0.36181565026664375,0.4344303715809393,19.0607258,451.78891790000034,45.17889179000004,115940352,146800640,available
