run,epoch,global_step,train_loss,val_loss
final_ctx128_layers4_lr3e-4,0.12106537530266344,100,4.591831636428833,4.582199835777283
final_ctx128_layers4_lr3e-4,0.24213075060532688,200,3.9230408906936645,3.908749985694885
final_ctx128_layers4_lr3e-4,0.36319612590799033,300,3.7271755576133727,3.718997871875763
final_ctx128_layers4_lr3e-4,0.48426150121065376,400,3.6241201996803283,3.6206663966178896
final_ctx128_layers4_lr3e-4,0.6053268765133172,500,3.5581384539604186,3.558745968341827
final_ctx128_layers4_lr3e-4,0.7263922518159807,600,3.4918684363365173,3.5023570537567137
final_ctx128_layers4_lr3e-4,0.847457627118644,700,3.4316717267036436,3.443043029308319
final_ctx128_layers4_lr3e-4,0.9685230024213075,800,3.3819149136543274,3.3838128447532654
final_ctx128_layers4_lr3e-4,1.0,826,3.3491735577583315,3.3696866154670717
final_ctx128_layers4_lr3e-4,1.089588377723971,900,3.335327410697937,3.334748697280884
final_ctx128_layers4_lr3e-4,1.2106537530266344,1000,3.291370379924774,3.2960246801376343
final_ctx128_layers4_lr3e-4,1.331719128329298,1100,3.2742430567741394,3.2573456168174744
final_ctx128_layers4_lr3e-4,1.4527845036319613,1200,3.2078453421592714,3.2269489049911497
final_ctx128_layers4_lr3e-4,1.5738498789346247,1300,3.1665414810180663,3.191755712032318
final_ctx128_layers4_lr3e-4,1.694915254237288,1400,3.1333028435707093,3.162617766857147
final_ctx128_layers4_lr3e-4,1.8159806295399514,1500,3.129084086418152,3.134198260307312
final_ctx128_layers4_lr3e-4,1.937046004842615,1600,3.111077606678009,3.108808696269989
final_ctx128_layers4_lr3e-4,2.0,1652,3.0545289635658266,3.093187999725342
final_ctx128_layers4_lr3e-4,2.0581113801452786,1700,3.056162214279175,3.080269825458527
final_ctx128_layers4_lr3e-4,2.179176755447942,1800,3.010286974906921,3.0591145873069765
final_ctx128_layers4_lr3e-4,2.3002421307506054,1900,3.015905570983887,3.0388373136520386
final_ctx128_layers4_lr3e-4,2.4213075060532687,2000,3.0003241062164308,3.014121782779694
final_ctx128_layers4_lr3e-4,2.542372881355932,2100,2.980760097503662,2.9919907808303834
final_ctx128_layers4_lr3e-4,2.663438256658596,2200,2.9620879173278807,2.9771344542503355
final_ctx128_layers4_lr3e-4,2.7845036319612593,2300,2.9327144384384156,2.961622726917267
final_ctx128_layers4_lr3e-4,2.9055690072639226,2400,2.893995201587677,2.9426050066947935
final_ctx128_layers4_lr3e-4,3.0,2478,2.8760087847709657,2.9285712003707887
final_ctx128_layers4_lr3e-4,3.026634382566586,2500,2.900438666343689,2.9268690824508665
final_ctx128_layers4_lr3e-4,3.1476997578692494,2600,2.877301836013794,2.913170886039734
final_ctx128_layers4_lr3e-4,3.2687651331719128,2700,2.8641085743904116,2.899326968193054
final_ctx128_layers4_lr3e-4,3.389830508474576,2800,2.846123254299164,2.8843977451324463
final_ctx128_layers4_lr3e-4,3.5108958837772395,2900,2.8427894830703737,2.875196671485901
final_ctx128_layers4_lr3e-4,3.6319612590799033,3000,2.827667808532715,2.864094579219818
final_ctx128_layers4_lr3e-4,3.7530266343825667,3100,2.8145663380622863,2.855290615558624
final_ctx128_layers4_lr3e-4,3.87409200968523,3200,2.8027183294296263,2.8395169258117674
final_ctx128_layers4_lr3e-4,3.9951573849878934,3300,2.7610992312431337,2.8295249819755552
final_ctx128_layers4_lr3e-4,4.0,3304,2.789215075969696,2.829783320426941
final_ctx128_layers4_lr3e-4,4.116222760290557,3400,2.8013675451278686,2.826395273208618
final_ctx128_layers4_lr3e-4,4.237288135593221,3500,2.7774815440177916,2.814167785644531
final_ctx128_layers4_lr3e-4,4.358353510895884,3600,2.7774395108222962,2.809006667137146
final_ctx128_layers4_lr3e-4,4.479418886198547,3700,2.7222644090652466,2.798128271102905
final_ctx128_layers4_lr3e-4,4.600484261501211,3800,2.7356934785842895,2.7920894622802734
final_ctx128_layers4_lr3e-4,4.721549636803874,3900,2.732561182975769,2.780468165874481
final_ctx128_layers4_lr3e-4,4.842615012106537,4000,2.718335771560669,2.773161566257477
final_ctx128_layers4_lr3e-4,4.963680387409201,4100,2.7084301471710206,2.7649169325828553
final_ctx128_layers4_lr3e-4,5.0,4130,2.7173680663108826,2.761461877822876
