batch_size,best_epoch,final_train_loss,final_val_loss,final_test_loss,best_val_loss,test_loss_at_best_epoch,final_train_ppl,final_val_ppl,final_test_ppl,best_val_ppl,test_ppl_at_best_epoch,top_1_accuracy_at_best_epoch,top_3_accuracy_at_best_epoch,top_5_accuracy_at_best_epoch,final_top_1_accuracy,final_top_3_accuracy,final_top_5_accuracy,training_time,average_epoch_time,max_gpu_memory_allocated_if_available,max_gpu_memory_reserved_if_available,final_loss_gap,final_ppl_gap
2,1,5.670121,5.612256,5.660170,5.612256,5.660170,290.069687,273.761161,287.197484,273.761161,287.197484,0.015625,0.031250,0.031250,0.015625,0.031250,0.031250,0.489,0.489,N/A,N/A,-0.057865,-16.308526
4,1,5.796556,5.656569,5.747502,5.656569,5.747502,329.163807,286.165261,313.406745,286.165261,313.406745,0.007812,0.015625,0.023438,0.007812,0.015625,0.023438,0.302,0.302,N/A,N/A,-0.139986,-42.998545
