run,epoch,global_step,train_loss,val_loss
lr_1e-4,0.6993006993006993,100,5.5514400720596315,5.546899199485779
lr_1e-4,1.0,143,5.406554412841797,5.398444890975952
lr_1e-4,1.3986013986013985,200,5.347901916503906,5.329964065551758
lr_1e-4,2.0,286,5.238930082321167,5.246409296989441
lr_3e-4,0.6993006993006993,100,5.253977870941162,5.246607232093811
lr_3e-4,1.0,143,5.062745237350464,5.062976741790772
lr_3e-4,1.3986013986013985,200,4.762550115585327,4.763970065116882
lr_3e-4,2.0,286,4.319480586051941,4.368106842041016
lr_5e-4,0.6993006993006993,100,4.997599315643311,4.996612310409546
lr_5e-4,1.0,143,4.634100794792175,4.643153095245362
lr_5e-4,1.3986013986013985,200,4.244912576675415,4.262904238700867
lr_5e-4,2.0,286,3.900422525405884,3.976372408866882
