run,epoch,global_step,train_loss,val_loss
layers_4,0.04539264639128461,100,5.172109436988831,5.161299228668213
layers_4,0.09078529278256922,200,4.640572547912598,4.6315771579742435
layers_4,0.13617793917385385,300,4.20276255607605,4.202477502822876
layers_4,0.18157058556513844,400,3.99247407913208,3.98314208984375
layers_4,0.22696323195642307,500,3.840754044055939,3.8516347408294678
layers_4,0.2723558783477077,600,3.770115375518799,3.765979599952698
layers_4,0.3177485247389923,700,3.7315882086753844,3.6957873940467834
layers_4,0.3631411711302769,800,3.6305352687835692,3.640802502632141
layers_4,0.4085338175215615,900,3.583441746234894,3.596052658557892
layers_4,0.45392646391284613,1000,3.611770844459534,3.5550355315208435
layers_4,0.49931911030413073,1100,3.550287127494812,3.5190130949020384
layers_4,0.5447117566954154,1200,3.5114590167999267,3.4781872749328615
layers_4,0.5901044030867,1300,3.4784491062164307,3.4507951736450195
layers_4,0.6354970494779846,1400,3.4039409875869753,3.4185988187789915
layers_4,0.6808896958692692,1500,3.3547041058540343,3.3921252489089966
layers_4,0.7262823422605538,1600,3.385846257209778,3.371587026119232
layers_4,0.7716749886518384,1700,3.358028531074524,3.3534305334091186
layers_4,0.817067635043123,1800,3.339874005317688,3.3328468680381773
layers_4,0.8624602814344077,1900,3.3336846113204954,3.3169467449188232
layers_4,0.9078529278256923,2000,3.293479883670807,3.3015280604362487
layers_4,0.9532455742169769,2100,3.2440078496932983,3.285272753238678
layers_4,0.9986382206082615,2200,3.2699705839157103,3.2694104313850403
layers_4,1.0,2203,3.2867138504981996,3.2680347681045534
layers_4,1.0440308669995462,2300,3.2772256731987,3.2507358312606813
layers_4,1.0894235133908308,2400,3.2169927835464476,3.2368610858917237
layers_4,1.1348161597821154,2500,3.202719438076019,3.2221883177757262
layers_4,1.1802088061734,2600,3.1906121373176575,3.210003435611725
layers_4,1.2256014525646846,2700,3.212306571006775,3.1990924715995788
layers_4,1.2709940989559692,2800,3.2418121695518494,3.1868635773658753
layers_4,1.3163867453472538,2900,3.175760531425476,3.177395153045654
layers_4,1.3617793917385383,3000,3.14550895690918,3.1619373559951782
layers_4,1.407172038129823,3100,3.1257404088974,3.148400568962097
layers_4,1.4525646845211075,3200,3.1290076613426208,3.1391215085983277
layers_4,1.4979573309123921,3300,3.1476556181907656,3.134970498085022
layers_4,1.5433499773036767,3400,3.12768018245697,3.12135488986969
layers_4,1.5887426236949613,3500,3.0999331712722777,3.1107138276100157
layers_4,1.634135270086246,3600,3.13055624961853,3.098982274532318
layers_4,1.6795279164775305,3700,3.1088410377502442,3.0864622831344604
layers_4,1.7249205628688151,3800,3.04487566947937,3.0751081228256227
layers_4,1.7703132092600997,3900,3.0892982363700865,3.067982089519501
layers_4,1.8157058556513843,4000,3.0610066533088682,3.059742259979248
layers_4,1.8610985020426691,4100,3.058960700035095,3.046986794471741
layers_4,1.9064911484339537,4200,3.044591414928436,3.0405606269836425
layers_4,1.9518837948252383,4300,3.0167447328567505,3.031689929962158
layers_4,1.997276441216523,4400,3.0206526041030886,3.0274201393127442
layers_4,2.0,4406,3.043967640399933,3.025513195991516
