eval_index,global_step,epoch,train_loss,val_loss
1,100,0.04231908590774439,4.072578620910645,4.0511079788208
2,200,0.08463817181548879,3.448534297943115,3.4015552520751955
3,300,0.12695725772323319,3.225430452823639,3.1865696907043457
4,400,0.16927634363097757,3.1120312333106996,3.059214985370636
5,500,0.21159542953872196,2.967435920238495,2.954384517669678
6,600,0.25391451544646637,2.8758583068847656,2.8576338291168213
7,700,0.29623360135421073,2.7452000856399534,2.7752021074295046
8,800,0.33855268726195514,2.7238649010658262,2.727960002422333
9,900,0.38087177316969956,2.720206892490387,2.690362977981567
10,1000,0.4231908590774439,2.6658545970916747,2.662063455581665
11,1100,0.46550994498518833,2.6794021129608154,2.6379822731018066
12,1200,0.5078290308929327,2.613674545288086,2.6116950154304504
13,1300,0.5501481168006771,2.5826191306114197,2.59523491859436
14,1400,0.5924672027084215,2.581175458431244,2.570997393131256
15,1500,0.6347862886161659,2.5598281145095827,2.550409507751465
16,1600,0.6771053745239103,2.547369909286499,2.5348289012908936
17,1700,0.7194244604316546,2.528474545478821,2.5181885600090026
18,1800,0.7617435463393991,2.527366304397583,2.502068614959717
19,1900,0.8040626322471435,2.4836904644966125,2.4876239776611326
20,2000,0.8463817181548878,2.4805312752723694,2.475384497642517
21,2100,0.8887008040626323,2.471688616275787,2.4620654463768004
22,2200,0.9310198899703767,2.4986042976379395,2.4515600919723513
23,2300,0.973338975878121,2.4535364747047423,2.441763186454773
24,2400,1.0156580617858655,2.44440735578537,2.4295599341392515
25,2500,1.0579771476936097,2.423670196533203,2.420057702064514
26,2600,1.1002962336013542,2.4035048365592955,2.40740886926651
27,2700,1.1426153195090987,2.4213999629020693,2.4041699171066284
28,2800,1.184934405416843,2.3922557473182677,2.395653712749481
29,2900,1.2272534913245874,2.400249552726746,2.386514186859131
30,3000,1.2695725772323319,2.37057820558548,2.376403295993805
31,3100,1.311891663140076,2.3818387746810914,2.369864451885223
32,3200,1.3542107490478206,2.367448329925537,2.3638777256011965
33,3300,1.396529834955565,2.375514543056488,2.35754976272583
34,3400,1.4388489208633093,2.3491602897644044,2.349234163761139
35,3500,1.4811680067710538,2.366150212287903,2.3395049214363097
36,3600,1.5234870926787982,2.3641616702079773,2.3330924034118654
37,3700,1.5658061785865425,2.3341061234474183,2.3291356921195985
38,3800,1.608125264494287,2.325650191307068,2.3240988492965697
39,3900,1.6504443504020314,2.3304427027702332,2.3150766849517823
40,4000,1.6927634363097757,2.307924747467041,2.309631907939911
41,4100,1.7350825222175201,2.3025338649749756,2.3046064257621763
42,4200,1.7774016081252646,2.306107783317566,2.2979669094085695
43,4300,1.8197206940330088,2.317401921749115,2.293996036052704
44,4400,1.8620397799407533,2.2966543316841124,2.289658486843109
45,4500,1.9043588658484976,2.2914543628692625,2.282751202583313
46,4600,1.946677951756242,2.3095029830932616,2.2807125449180603
47,4700,1.9889970376639865,2.282933437824249,2.2730213046073913
48,4800,2.031316123571731,2.2555858373641966,2.2672642827033997
49,4900,2.0736352094794754,2.2989494442939757,2.2612067103385924
50,5000,2.1159542953872195,2.267667758464813,2.2589820861816405
51,5100,2.158273381294964,2.2646397829055784,2.2560378670692445
52,5200,2.2005924672027084,2.2744532346725466,2.245203709602356
53,5300,2.242911553110453,2.2349560260772705,2.244432210922241
54,5400,2.2852306390181973,2.2497247576713564,2.240004563331604
55,5500,2.327549724925942,2.2493674516677857,2.2359849572181703
56,5600,2.369868810833686,2.2126647591590882,2.23379590511322
57,5700,2.4121878967414303,2.2458529710769652,2.2285284399986267
58,5800,2.4545069826491748,2.204887366294861,2.2228208780288696
59,5900,2.4968260685569192,2.214923369884491,2.2198850870132447
60,6000,2.5391451544646637,2.2269118666648864,2.215709352493286
61,6100,2.5814642403724077,2.2268213510513304,2.2078144788742065
62,6200,2.623783326280152,2.2300626754760744,2.2124281525611877
63,6300,2.6661024121878967,2.2175129413604737,2.2053830862045287
64,6400,2.708421498095641,2.218571412563324,2.199939227104187
65,6500,2.7507405840033856,2.1785696387290954,2.200030708312988
66,6600,2.79305966991113,2.2168360590934753,2.1956498622894287
67,6700,2.835378755818874,2.1888988971710206,2.1940469622611998
68,6800,2.8776978417266186,2.2109799146652223,2.189168834686279
69,6900,2.920016927634363,2.191129410266876,2.1841318130493166
70,7000,2.9623360135421075,2.19648300409317,2.1848735332489015
71,7100,3.004655099449852,2.1861749053001405,2.1796587467193604
72,7200,3.0469741853575965,2.202287828922272,2.1755487442016603
73,7300,3.0892932712653405,2.1781607627868653,2.1731616377830507
74,7400,3.131612357173085,2.1880284786224364,2.1704002916812897
75,7500,3.1739314430808294,2.1894867181777955,2.1730389475822447
76,7600,3.216250528988574,2.161577594280243,2.165359288454056
77,7700,3.2585696148963184,2.152899420261383,2.164284610748291
78,7800,3.300888700804063,2.1659008383750917,2.161964076757431
79,7900,3.343207786711807,2.1839269757270814,2.1556002259254456
80,8000,3.3855268726195513,2.140528750419617,2.154636287689209
81,8100,3.427845958527296,2.1738848090171814,2.149701362848282
82,8200,3.4701650444350403,2.1622394204139708,2.149901443719864
83,8300,3.5124841303427847,2.140754795074463,2.1464430689811707
84,8400,3.554803216250529,2.1310287952423095,2.1469127416610716
85,8500,3.597122302158273,2.151596796512604,2.1455788910388947
86,8600,3.6394413880660177,2.1630919575691223,2.139402687549591
87,8700,3.681760473973762,2.1148935198783874,2.1374396204948427
88,8800,3.7240795598815066,2.1427549600601195,2.1341547846794127
89,8900,3.766398645789251,2.1387531399726867,2.1323413252830505
90,9000,3.808717731696995,2.1342942357063293,2.1276839315891265
91,9100,3.8510368176047396,2.126081442832947,2.1278962552547456
92,9200,3.893355903512484,2.1190047383308412,2.1199222445487975
93,9300,3.9356749894202285,2.1201660990715028,2.1191544234752655
94,9400,3.977994075327973,2.146859419345856,2.121089816093445
95,9500,4.020313161235717,2.1124212622642515,2.1167781591415404
96,9600,4.062632247143462,2.1198669373989105,2.1149068117141723
97,9700,4.104951333051206,2.129531216621399,2.1119205236434935
98,9800,4.147270418958951,2.09462251663208,2.109011787176132
99,9900,4.189589504866695,2.1201411724090575,2.1075478374958037
100,10000,4.231908590774439,2.117929208278656,2.107992500066757
101,10100,4.274227676682184,2.105271393060684,2.101979339122772
102,10200,4.316546762589928,2.101539671421051,2.1018698155879973
103,10300,4.358865848497673,2.104778015613556,2.0991749584674837
104,10400,4.401184934405417,2.0979890286922456,2.098278099298477
105,10500,4.443504020313161,2.1199653506278993,2.096544325351715
106,10600,4.485823106220906,2.09147230386734,2.0949547052383424
107,10700,4.52814219212865,2.0960842072963715,2.0945796251296995
108,10800,4.570461278036395,2.1051140308380125,2.090432071685791
109,10900,4.612780363944139,2.0859783828258514,2.0867778778076174
110,11000,4.655099449851884,2.093664413690567,2.0845758259296416
111,11100,4.697418535759628,2.1052121222019196,2.0847238898277283
112,11200,4.739737621667372,2.0977577567100525,2.082356810569763
113,11300,4.782056707575117,2.052488607168198,2.0837285995483397
114,11400,4.824375793482861,2.0908912241458895,2.0761588633060457
115,11500,4.8666948793906055,2.093715727329254,2.075846087932587
116,11600,4.9090139652983495,2.1241126894950866,2.0752012491226197
117,11700,4.951333051206094,2.084705513715744,2.072828656435013
118,11800,4.9936521371138385,2.079643952846527,2.0731821715831757
