eval_index,train_loss,val_loss
1,4.072578620910645,4.0511079788208
2,3.448534297943115,3.4015552520751955
3,3.225430452823639,3.1865696907043457
4,3.1120312333106996,3.059214985370636
5,2.967435920238495,2.954384517669678
6,2.8758583068847656,2.8576338291168213
7,2.7452000856399534,2.7752021074295046
8,2.7238649010658262,2.727960002422333
9,2.720206892490387,2.690362977981567
10,2.6658545970916747,2.662063455581665
11,2.6794021129608154,2.6379822731018066
12,2.613674545288086,2.6116950154304504
13,2.5826191306114197,2.59523491859436
14,2.581175458431244,2.570997393131256
15,2.5598281145095827,2.550409507751465
16,2.547369909286499,2.5348289012908936
17,2.528474545478821,2.5181885600090026
18,2.527366304397583,2.502068614959717
19,2.4836904644966125,2.4876239776611326
20,2.4805312752723694,2.475384497642517
21,2.471688616275787,2.4620654463768004
22,2.4986042976379395,2.4515600919723513
23,2.4535364747047423,2.441763186454773
24,2.44440735578537,2.4295599341392515
25,2.423670196533203,2.420057702064514
26,2.4035048365592955,2.40740886926651
27,2.4213999629020693,2.4041699171066284
28,2.3922557473182677,2.395653712749481
29,2.400249552726746,2.386514186859131
30,2.37057820558548,2.376403295993805
31,2.3818387746810914,2.369864451885223
32,2.367448329925537,2.3638777256011965
33,2.375514543056488,2.35754976272583
34,2.3491602897644044,2.349234163761139
35,2.366150212287903,2.3395049214363097
36,2.3641616702079773,2.3330924034118654
37,2.3341061234474183,2.3291356921195985
38,2.325650191307068,2.3240988492965697
39,2.3304427027702332,2.3150766849517823
40,2.307924747467041,2.309631907939911
41,2.3025338649749756,2.3046064257621763
42,2.306107783317566,2.2979669094085695
43,2.317401921749115,2.293996036052704
44,2.2966543316841124,2.289658486843109
45,2.2914543628692625,2.282751202583313
46,2.3095029830932616,2.2807125449180603
47,2.282933437824249,2.2730213046073913
48,2.2555858373641966,2.2672642827033997
49,2.2989494442939757,2.2612067103385924
50,2.267667758464813,2.2589820861816405
51,2.2646397829055784,2.2560378670692445
52,2.2744532346725466,2.245203709602356
53,2.2349560260772705,2.244432210922241
54,2.2497247576713564,2.240004563331604
55,2.2493674516677857,2.2359849572181703
56,2.2126647591590882,2.23379590511322
57,2.2458529710769652,2.2285284399986267
58,2.204887366294861,2.2228208780288696
59,2.214923369884491,2.2198850870132447
60,2.2269118666648864,2.215709352493286
61,2.2268213510513304,2.2078144788742065
62,2.2300626754760744,2.2124281525611877
63,2.2175129413604737,2.2053830862045287
64,2.218571412563324,2.199939227104187
65,2.1785696387290954,2.200030708312988
66,2.2168360590934753,2.1956498622894287
67,2.1888988971710206,2.1940469622611998
68,2.2109799146652223,2.189168834686279
69,2.191129410266876,2.1841318130493166
70,2.19648300409317,2.1848735332489015
71,2.1861749053001405,2.1796587467193604
72,2.202287828922272,2.1755487442016603
73,2.1781607627868653,2.1731616377830507
74,2.1880284786224364,2.1704002916812897
75,2.1894867181777955,2.1730389475822447
76,2.161577594280243,2.165359288454056
77,2.152899420261383,2.164284610748291
78,2.1659008383750917,2.161964076757431
79,2.1839269757270814,2.1556002259254456
80,2.140528750419617,2.154636287689209
81,2.1738848090171814,2.149701362848282
82,2.1622394204139708,2.149901443719864
83,2.140754795074463,2.1464430689811707
84,2.1310287952423095,2.1469127416610716
85,2.151596796512604,2.1455788910388947
86,2.1630919575691223,2.139402687549591
87,2.1148935198783874,2.1374396204948427
88,2.1427549600601195,2.1341547846794127
89,2.1387531399726867,2.1323413252830505
90,2.1342942357063293,2.1276839315891265
91,2.126081442832947,2.1278962552547456
92,2.1190047383308412,2.1199222445487975
93,2.1201660990715028,2.1191544234752655
94,2.146859419345856,2.121089816093445
95,2.1124212622642515,2.1167781591415404
96,2.1198669373989105,2.1149068117141723
97,2.129531216621399,2.1119205236434935
98,2.09462251663208,2.109011787176132
99,2.1201411724090575,2.1075478374958037
100,2.117929208278656,2.107992500066757
101,2.105271393060684,2.101979339122772
102,2.101539671421051,2.1018698155879973
103,2.104778015613556,2.0991749584674837
104,2.0979890286922456,2.098278099298477
105,2.1199653506278993,2.096544325351715
106,2.09147230386734,2.0949547052383424
107,2.0960842072963715,2.0945796251296995
108,2.1051140308380125,2.090432071685791
109,2.0859783828258514,2.0867778778076174
110,2.093664413690567,2.0845758259296416
111,2.1052121222019196,2.0847238898277283
112,2.0977577567100525,2.082356810569763
113,2.052488607168198,2.0837285995483397
114,2.0908912241458895,2.0761588633060457
115,2.093715727329254,2.075846087932587
116,2.1241126894950866,2.0752012491226197
117,2.084705513715744,2.072828656435013
118,2.079643952846527,2.0731821715831757
